objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
Japan_00001,japan00001.jpg,,,Senso-Ji - Kaminarimon Gate,Sean Murphy,2023:10:05 17:25:35,,Senso-Ji;Asakusa;Tokyo;Kaminarimon Gate;landmark;day,"Asakusa, Tokyo, Japan",,,,,Image;StillImage,image/jpg,eng,In Copyright,
Japan_00002,japan00002.jpg,,,Shibuya Neighborhood,Sean Murphy,2023:09:27 20:56:29,,Shibuya;Tokyo;Neko Neko Inn;neighborhood;night,"Shibuya, Tokyo, Japan",,,,,Image;StillImage,image/jpg,eng,In Copyright,
Japan_00003,japan00003.jpg,,,Vending Machines,Sean Murphy,2023:09:27 20:58:43,,Shibuya;Tokyo;Life & Culture;night,"Shibuya, Tokyo, Japan",,,,,Image;StillImage,image/jpg,eng,In Copyright,
Japan_00004,japan00004.jpg,,,Yoyogi Park,Sean Murphy,2023:09:27 21:16:04,,,"Shibuya, Tokyo, Japan",,,,,Image;StillImage,image/jpg,eng,In Copyright,
Japan_00005,japan00005.jpg,,,Ducks - Yoyogi Park,Sean Murphy,2023:09:27 21:16:17,,Shibuya;Tokyo;Yoyogi Park;wildlife;night,"Shibuya, Tokyo, Japan",,,,,Image;StillImage,image/jpg,eng,In Copyright,
Japan_00006,japan00006.jpg,,,Ducks - Yoyogi Park,Sean Murphy,2023:09:27 21:16:18,,Shibuya;Tokyo;Yoyogi Park;wildlife;night,"Shibuya, Tokyo, Japan",,,,,Image;StillImage,image/jpg,eng,In Copyright,
Japan_00007,japan00007.jpg,,,Shibuya from Yoyogi Park,Sean Murphy,2023:09:27 21:21:54,,Shibuya;Tokyo;Yoyogi Park;night,"Shibuya, Tokyo, Japan",,,,,Image;StillImage,image/jpg,eng,In Copyright,
Japan_00008,japan00008.jpg,,,Goose Island Brewpub,Sean Murphy,2023:09:27 21:30:21,,Shibuya;Tokyo;Life & Culture;night,"Shibuya, Tokyo, Japan",,,,,Image;StillImage,image/jpg,eng,In Copyright,
Japan_00009,japan00009.jpg,,,Shibuya Shopping District,Sean Murphy,2023:09:27 21:52:06,,Shibuya;Tokyo;shopping;night,"Shibuya, Tokyo, Japan",,,,,Image;StillImage,image/jpg,eng,In Copyright,
Japan_00010,japan00010.jpg,,,Shibuya Shopping District,Sean Murphy,2023:09:27 21:52:11,,Shibuya;Tokyo;shopping;night,"Shibuya, Tokyo, Japan",,,,,Image;StillImage,image/jpg,eng,In Copyright,
Japan_00011,japan00011.jpg,,,Hachiko Statue,Sean Murphy,2023:09:27 22:30:10,,Shibuya;Tokyo;landmark;night,"Shibuya, Tokyo, Japan",,,,,Image;StillImage,image/jpg,eng,In Copyright,
Japan_00012,japan00012.jpg,,,Hachiko Statue,Sean Murphy,2023:09:27 22:30:12,,Shibuya;Tokyo;landmark;night,"Shibuya, Tokyo, Japan",,,,,Image;StillImage,image/jpg,eng,In Copyright,
Japan_00013,japan00013.jpg,,,Shibuya Scramble Crossing,Sean Murphy,2023:09:27 22:31:05,,Shibuya;Tokyo;landmark;night,"Shibuya, Tokyo, Japan",,,,,Image;StillImage,image/jpg,eng,In Copyright,
Japan_00014,japan00014.jpg,,,Neko Decaf Coffee,Sean Murphy,2023:09:28 08:09:53,,Shibuya;Tokyo;Neko Neko Inn;Food & Drink,"Shibuya, Tokyo, Japan",,,,,Image;StillImage,image/jpg,eng,In Copyright,
Japan_00015,japan00015.jpg,,,Neko Neko Inn - Main Bedroom,Sean Murphy,2023:09:28 09:25:07,,Shibuya;Tokyo;Neko Neko Inn;hotel,"Shibuya, Tokyo, Japan",,,,,Image;StillImage,image/jpg,eng,In Copyright,
Japan_00016,japan00016.jpg,,,Neko Neko Inn - Starry Ceiling,Sean Murphy,2023:09:28 09:27:04,,Shibuya;Tokyo;Neko Neko Inn;hotel,"Shibuya, Tokyo, Japan",,,,,Image;StillImage,image/jpg,eng,In Copyright,
